FlightNumber,SeatNumber,Price,Status,Class,PassengerID
1317256002,49H,7570.52,Landed,Economy,822908083
345565915,55J,9239.59,Boarded,Economy,371956795
816472325,54B,9450.39,Booked,Economy,263940516
1115471481,15F,6914.36,Boarded,Business,848337814
795516686,25G,2415.76,NoShow,Economy,951310230
1158684863,57D,4525.29,NoShow,Economy,351733149
1812468308,26A,1277.8,NoShow,Economy,159857138
318464421,37K,1897.82,InFlight,Economy,361167056
2032008182,59K,4147.45,Booked,Economy,948465473
132972161,04H,9953.37,NoShow,First,306948081
2325314,10K,3213.68,InFlight,Business,121085948
1260994349,05F,6064.45,Booked,First,763665187
566605554,34K,3093.76,Cancelled,Economy,364701551
959230025,05J,4889.45,InFlight,First,560111448
1728078694,55K,2126.22,Booked,Economy,828931970
200441033,25D,4273.56,Boarded,Economy,197501791
690077460,39H,6752.79,NoShow,Economy,451016013
144771276,12A,4079.15,CheckedIn,Business,305713922
1419083031,13J,9348.94,Booked,Business,162829309
892766034,47K,1075.72,Landed,Economy,847554213
1334914592,29K,5319.03,CheckedIn,Economy,176213957
1623768361,16F,753.0,CheckedIn,Business,359588783
291557296,32G,5733.46,Landed,Economy,369766287
1031393156,12C,2502.05,Cancelled,Business,554811713
207109563,58K,8499.72,CheckedIn,Economy,409241756
1735333006,10C,7187.12,Landed,Business,785816119
71110098,30F,2434.72,NoShow,Economy,449638787
1233954105,39D,4454.43,CheckedIn,Economy,598441189
903694471,33D,7647.31,Boarded,Economy,371894843
1003939468,43K,4781.84,InFlight,Economy,523023769
1197487248,22D,9278.3,Landed,EconPlus,173462403
757497461,47C,4686.28,NoShow,Economy,607423028
2068712536,45F,6456.47,CheckedIn,Economy,110125018
1211761488,22K,3836.98,CheckedIn,EconPlus,569866893
1501535387,38K,6602.66,NoShow,Economy,959208013
1872633216,53J,2448.82,Booked,Economy,463086805
1720306665,29D,4323.68,Boarded,Economy,844041200
981484838,52C,5010.38,CheckedIn,Economy,859784901
1746537330,53G,6290.82,CheckedIn,Economy,669121941
738781799,34A,9680.26,InFlight,Economy,205151155
1466220526,04C,3277.86,NoShow,First,457004543
645087977,37C,1295.57,Cancelled,Economy,677797895
157358067,02H,7276.38,NoShow,First,281016008
1945970377,05D,2064.84,Booked,First,437720196
1298656518,42F,7909.54,InFlight,Economy,786312758
928927134,40F,1774.57,Boarded,Economy,995360945
1610965826,28J,6805.46,Boarded,Economy,629554226
144500835,47A,5431.68,Landed,Economy,134067851
1270679365,55H,6933.73,Boarded,Economy,646397323
966975561,14K,9742.62,NoShow,Business,516071213
603376022,05B,238.95,Booked,First,517346148
1950137533,24F,2187.11,NoShow,Economy,939244209
1968467589,26H,1132.2,Boarded,Economy,466413509
1666036451,07F,1577.16,Booked,First,759218240
178284923,46J,6702.4,Cancelled,Economy,562474421
1957057598,36F,2503.37,Landed,Economy,694505114
323382259,14J,6798.15,Landed,Business,588678165
1363138131,09C,9137.69,InFlight,First,416476946
1302607934,46F,4151.75,Landed,Economy,865242496
52263493,23H,4739.58,NoShow,EconPlus,606676164
1287274241,05J,3075.38,InFlight,First,770792981
2119919095,07G,1229.06,Cancelled,First,611915551
405904508,05A,1889.02,Landed,First,422538728
1786126712,16A,6795.45,CheckedIn,Business,740268894
855480186,41G,3234.32,CheckedIn,Economy,750457911
819128603,26A,7309.78,NoShow,Economy,826026998
342741145,11C,2427.85,Cancelled,Business,277932868
1088634134,33H,4342.91,CheckedIn,Economy,139047000
362865555,10A,5086.91,CheckedIn,Business,568628026
737991680,38F,7884.91,NoShow,Economy,334260975
197913538,18A,4288.55,Landed,Business,207800952
1989408669,08D,1701.3,NoShow,First,955401186
1596941507,58F,6442.98,InFlight,Economy,561485631
94236543,08H,2801.8,CheckedIn,First,109644694
2017064671,44F,9358.18,Cancelled,Economy,399706319
1085225443,03B,5211.31,InFlight,First,325995377
336459725,40G,6023.7,NoShow,Economy,582381821
712633370,05G,7064.29,Landed,First,556423696
54342617,07A,2930.73,InFlight,First,479183669
147350334,43A,5543.02,CheckedIn,Economy,882805463
939977760,00G,7704.42,InFlight,First,317545037
150106744,11A,548.52,Boarded,Business,462905258
855485716,14J,3929.24,Landed,Business,141861789
385003850,54C,7473.8,InFlight,Economy,562585148
1278521502,43C,5183.35,Booked,Economy,953562355
358276376,01K,3932.59,CheckedIn,First,498791817
1909654759,44G,7045.21,Landed,Economy,707702831
389494300,16A,6184.7,InFlight,Business,347188713
726387831,10A,6861.08,NoShow,Business,961246856
615029101,21A,9941.01,Cancelled,EconPlus,156798992
209037836,57F,9254.81,Cancelled,Economy,784144281
2025102843,39J,8933.23,CheckedIn,Economy,908532676
1311183329,45J,4054.49,NoShow,Economy,457594825
1068213538,18B,4504.94,Boarded,Business,551037922
1353023080,38K,8077.3,Boarded,Economy,591124144
872642095,43J,4330.63,Cancelled,Economy,622334102
139479199,52J,4614.52,NoShow,Economy,465017785
1557038831,48J,272.46,Booked,Economy,849995758
573423380,23H,8341.25,CheckedIn,EconPlus,152893954
29123740,28B,8840.1,Booked,Economy,755976214
849399718,42F,4754.17,Cancelled,Economy,616726119
1914735929,08H,2125.69,Booked,First,824675542
401537903,22C,7120.04,Boarded,EconPlus,474381758
952400670,13H,1783.59,Cancelled,Business,865208054
1515301324,52C,1509.37,Booked,Economy,834730160
1633461511,32D,7913.74,Boarded,Economy,827746761
876271598,43C,2733.18,Landed,Economy,297742544
835141930,52A,5496.83,Boarded,Economy,440043587
387825471,02D,6273.77,Landed,First,961270925
132439580,41G,2168.74,CheckedIn,Economy,996115066
1240020088,44G,3510.28,CheckedIn,Economy,518717827
2057907917,14A,578.61,Landed,Business,955073541
1895586012,06K,518.77,NoShow,First,553228645
1100290484,16G,5880.82,CheckedIn,Business,126063446
1927248129,31J,9619.44,NoShow,Economy,108415147
2070445891,25H,3266.02,NoShow,Economy,329688256
316679458,35K,8945.84,Boarded,Economy,748393768
1184440586,15A,5901.75,Landed,Business,938994746
1492358008,13K,8734.19,Booked,Business,243168964
1531319329,14A,1028.68,Boarded,Business,740200007
520061808,58G,8124.5,Booked,Economy,525741506
1939536096,27A,3718.87,Boarded,Economy,944033576
1566370133,48C,5066.44,Cancelled,Economy,688011052
1830250284,18B,513.88,Boarded,Business,718888251
1546961287,09F,9125.93,Boarded,First,614285146
162749524,43A,8237.5,CheckedIn,Economy,592729701
719866679,25D,7143.11,Booked,Economy,366250708
242356482,10F,6612.5,Landed,Business,642907449
1273647870,37J,5753.69,Landed,Economy,350419967
1087767404,30G,1895.49,NoShow,Economy,744939956
542443020,15H,7785.63,NoShow,Business,386783748
809774565,28K,5321.08,InFlight,Economy,590932393
1170455384,38K,2124.94,Boarded,Economy,166680717
1516870885,56D,6786.14,NoShow,Economy,176876825
1570770268,27A,5650.25,Booked,Economy,540108641
850969880,16K,8936.04,Booked,Business,784834861
980360972,10B,5826.44,Landed,Business,484890915
1425166085,31J,1689.18,Boarded,Economy,430483721
1097368430,19C,5887.46,Cancelled,Business,993874451
2108983461,34H,7926.56,Landed,Economy,939061824
2059184103,40H,8540.1,NoShow,Economy,163306676
1213155595,02K,6585.68,NoShow,First,396588455
1488002101,55B,8827.12,Cancelled,Economy,950638053
1915518996,57A,283.62,NoShow,Economy,244867663
1847215954,00G,2536.63,CheckedIn,First,846257253
1190605494,11D,3482.5,NoShow,Business,463898832
1986943830,25D,3272.66,Landed,Economy,328582553
720243081,08D,2549.0,Cancelled,First,313246046
755419433,55H,2090.54,Boarded,Economy,453545502
1220486778,00F,3982.22,Boarded,First,427652539
1027666501,03F,9057.8,CheckedIn,First,650312668
1528118670,02H,4729.74,CheckedIn,First,259459088
864624516,41G,4197.41,Boarded,Economy,608757713
533235491,54G,5216.23,Cancelled,Economy,252340264
414500129,22B,5253.34,Landed,EconPlus,100165534
2075386159,13H,7801.9,InFlight,Business,226951264
101158661,57J,6262.71,Booked,Economy,558837250
490879412,07J,6175.47,InFlight,First,102286997
1136084924,06J,5685.73,Booked,First,432166166
1354167525,28B,6123.37,NoShow,Economy,481209112
333395385,41H,6876.22,Cancelled,Economy,293686327
1226485219,39G,4753.42,CheckedIn,Economy,510338911
2144676613,33C,8680.27,Booked,Economy,800816291
42073459,04G,1445.69,Landed,First,858998940
1395094645,57F,3671.32,Landed,Economy,316438802
1423434204,20D,9479.4,Cancelled,Business,841861925
1556634876,56F,1908.43,Landed,Economy,161854341
1086173175,27D,3975.33,NoShow,Economy,849527826
2101851849,56F,6585.56,NoShow,Economy,856948497
306572068,40F,9946.76,Booked,Economy,235222415
1433108212,45K,6831.54,Landed,Economy,562581308
185177661,12H,6734.05,NoShow,Business,517901062
629589258,15G,2948.58,Cancelled,Business,215588771
1217372035,44H,1143.99,InFlight,Economy,251765132
2012625773,11J,6327.94,NoShow,Business,901546303
1441800062,12F,8308.03,Landed,Business,273079939
967149110,43G,5701.68,InFlight,Economy,260819933
2128595805,59C,5151.14,Boarded,Economy,566840228
844740781,47H,5164.0,Cancelled,Economy,549524651
844842912,25G,2053.75,NoShow,Economy,681117083
1677436245,39J,3811.22,InFlight,Economy,164120048
915801973,47G,4897.25,CheckedIn,Economy,949913171
181172113,59J,1582.54,InFlight,Economy,129044076
377556737,50K,280.78,Cancelled,Economy,300629452
2020554803,08F,1032.68,Landed,First,364983188
1124597891,10C,6302.89,Landed,Business,890378175
1166133706,31K,2549.1,NoShow,Economy,602824296
1590622282,52C,4288.07,Booked,Economy,924009952
1954598054,47D,7869.25,Cancelled,Economy,176319198
1061895802,01K,9712.67,InFlight,First,466862380
86389183,44H,5951.85,Boarded,Economy,544070317
1326071746,35D,2588.03,Cancelled,Economy,370709673
231844929,47G,1707.86,Landed,Economy,807937200
811396715,26F,283.28,Booked,Economy,931825554
1797277588,02C,6274.95,Boarded,First,414165454
2041890681,28F,6743.83,Boarded,Economy,187885409
690194119,40J,5002.94,Boarded,Economy,581628525
1709634783,52H,2867.54,NoShow,Economy,111897899
637905530,59A,2235.64,Cancelled,Economy,836829076
699871880,27F,2844.09,Cancelled,Economy,979845345
1973918518,27G,4350.35,Cancelled,Economy,498986506
253222602,55A,8903.26,CheckedIn,Economy,133127630
711677926,18K,8465.5,CheckedIn,Business,659136698
472834047,38K,309.36,Cancelled,Economy,145382252
1054147894,25C,9492.11,Landed,Economy,407530343
144060325,50H,7113.73,Cancelled,Economy,394807882
1930061291,35D,4616.55,Boarded,Economy,329356639
1214876249,58G,3286.33,InFlight,Economy,515789432
982658040,54B,8264.18,Boarded,Economy,528679776
1836277627,47C,1772.41,InFlight,Economy,436036743
241634622,05F,9357.0,Boarded,First,159012282
873343078,45J,8325.39,Cancelled,Economy,446914846
1431591019,14K,2317.24,Booked,Business,661743297
758151992,20B,6914.31,Cancelled,Business,643813109
1920494315,16B,3276.87,Booked,Business,724225662
682330288,58J,1334.51,Booked,Economy,506059046
439706551,21K,5473.09,Landed,EconPlus,263729320
1994358850,17B,7810.93,Landed,Business,207753634
533635749,00H,2277.38,Boarded,First,376939031
1592359421,35H,8374.03,Booked,Economy,502235473
1177424434,29H,1561.37,Boarded,Economy,235345226
88264527,35H,4271.01,CheckedIn,Economy,107908468
1172198653,11J,9709.99,Cancelled,Business,802184135
413531597,02J,5215.81,Booked,First,254311143
695043182,58A,9749.15,Booked,Economy,668674491
2104405881,49F,9089.11,InFlight,Economy,247328357
882942319,39B,182.12,Booked,Economy,341884496
13088138,11J,3875.1,CheckedIn,Business,529586012
1862476008,59G,1031.99,Boarded,Economy,649493932
1101024298,54D,1004.91,Cancelled,Economy,698682739
1109980635,54D,5182.65,Landed,Economy,329849701
1617000598,47C,2002.7,Booked,Economy,587813670
768054721,27C,9294.7,CheckedIn,Economy,825586839
1517102754,10D,5161.88,Boarded,Business,755418369
459844072,14C,4445.49,CheckedIn,Business,705676609
1676715595,35C,5632.41,CheckedIn,Economy,696316936
1601292046,17G,329.58,Landed,Business,145669185
1583467003,37K,2541.29,Landed,Economy,444803272
867060769,11K,2584.78,Booked,Business,750385588
1744288929,19K,195.16,CheckedIn,Business,596791424
163162127,31H,4314.26,Boarded,Economy,713824874
1536808537,47D,5578.45,NoShow,Economy,132640789
1691325246,47G,8967.34,CheckedIn,Economy,942054707
1280906752,31B,4644.29,Boarded,Economy,463423753
1831543919,43G,1716.34,Boarded,Economy,992154385
126113987,18K,6959.98,Booked,Business,504954232
356147756,52F,5298.68,Cancelled,Economy,295560180
59575013,39H,5048.48,Boarded,Economy,289681874
248797701,03B,6684.77,Boarded,First,482587006
343177421,40J,6905.58,Landed,Economy,121882406
717978004,25A,6302.98,Booked,Economy,186093130
300468825,04D,2376.38,Boarded,First,470154205
37119631,39F,8832.79,Booked,Economy,355697238
1841389565,35J,3469.34,Boarded,Economy,815768774
366593130,24D,3239.11,Landed,Economy,662125865
1106297148,26B,4562.59,NoShow,Economy,923056505
403314995,04C,1790.28,Boarded,First,990448427
319224924,36J,8938.95,Cancelled,Economy,658581148
1084679429,51F,9049.6,InFlight,Economy,628767830
647427495,59K,3313.15,Boarded,Economy,903791824
1374656976,44K,3261.17,Boarded,Economy,821281505
366055745,59G,5560.39,Boarded,Economy,359233228
79236383,09H,3645.88,NoShow,First,519525962
351006093,19J,4560.21,InFlight,Business,647418269
1338848788,38B,616.1,Boarded,Economy,835586761
555722628,20A,6690.84,Landed,Business,175925527
887588600,09B,6313.94,NoShow,First,801888551
1069333892,39D,8294.77,Cancelled,Economy,842976961
870129556,56B,1338.22,InFlight,Economy,274995934
1192743233,36D,431.98,Cancelled,Economy,258664193
398852702,15K,5170.1,Boarded,Business,269351181
374099577,50F,5968.07,Boarded,Economy,189305389
1499458517,57D,7397.64,NoShow,Economy,205160233
97201069,38J,4412.36,Boarded,Economy,697999915
795624363,12H,1573.2,Booked,Business,308965804
465196782,30F,3246.76,NoShow,Economy,785796874
306927335,28B,6742.6,Cancelled,Economy,288937606
109218341,15J,1815.63,InFlight,Business,784400230
192677560,39D,881.35,InFlight,Economy,164205670
1609780372,23D,6322.54,Boarded,EconPlus,401178246
1811025154,04A,7050.41,InFlight,First,368163736
1632341474,19D,1542.55,Cancelled,Business,601509330
157346422,29C,5803.2,NoShow,Economy,683020371
631484445,14K,1943.23,InFlight,Business,339577816
276922817,19H,9084.92,NoShow,Business,618978018
655403415,47H,6773.46,Boarded,Economy,478442408
1210713872,36A,9586.73,NoShow,Economy,847541149
676159139,08K,3990.48,Booked,First,858911412
1350941781,55D,4021.74,Landed,Economy,509458696
1039281745,58A,6231.26,InFlight,Economy,763331989
414992817,51K,9402.95,Boarded,Economy,674925018
669631556,29C,1971.16,CheckedIn,Economy,313967517
2111054105,41A,2546.89,Boarded,Economy,942849734
2105021593,01A,4602.54,Boarded,First,375655845
861546591,20D,2725.1,Booked,Business,690254483
128659155,39K,1236.57,Cancelled,Economy,217440741
113545992,32F,2106.64,NoShow,Economy,740099178
1965595278,53B,2640.47,NoShow,Economy,823429931
269747483,16J,2453.17,Landed,Business,952961717
1460497499,40K,8928.11,Booked,Economy,902770379
809528589,56D,7989.47,InFlight,Economy,309607443
19184028,17J,175.89,Booked,Business,232997766
1142008241,00B,2831.39,Landed,First,894714366
1448880862,15F,9086.49,Cancelled,Business,407187446
496702917,36K,4211.38,InFlight,Economy,395389604
2040952210,30H,2126.27,InFlight,Economy,664931385
1612565748,16K,4804.81,CheckedIn,Business,337066442
603422623,06A,5272.7,NoShow,First,453853524
1843805675,41A,8310.11,NoShow,Economy,938903185
279745914,20C,9440.82,InFlight,Business,349181592
1808612551,30A,9347.51,InFlight,Economy,986081259
875117431,09D,8204.61,Boarded,First,545570526
2086570278,51H,1549.63,CheckedIn,Economy,919811177
1007718726,28J,1164.44,CheckedIn,Economy,591176338
639276217,46K,1852.5,Cancelled,Economy,348476581
1909450283,37D,2541.23,NoShow,Economy,644806964
1751199357,35G,4546.57,Cancelled,Economy,173142244
1564204268,22F,3578.32,Booked,EconPlus,837782555
2091907658,16F,4043.41,Boarded,Business,439328050
60609703,38H,9107.42,CheckedIn,Economy,903970055
17119049,32K,7366.23,NoShow,Economy,301267416
1762033511,32G,8983.92,NoShow,Economy,377299057
797178416,59B,7619.14,Landed,Economy,105499471
1950702525,09K,3882.68,Cancelled,First,577831884
959798899,20K,7218.26,Booked,Business,484040998
437558173,10B,6139.51,Cancelled,Business,487758755
1954989608,32D,7013.09,Cancelled,Economy,468876534
1022233831,13H,9359.9,Cancelled,Business,530760221
1013899074,28F,7684.82,Boarded,Economy,543502315
509122530,46H,4857.3,InFlight,Economy,355656015
842926323,44K,6224.29,Cancelled,Economy,327882894
1489720790,13G,5176.87,Boarded,Business,460290328
1497292448,22C,5536.13,Boarded,EconPlus,600521992
482110407,24G,4744.42,NoShow,Economy,306577640
2055101178,41H,6823.55,Cancelled,Economy,653293846
1258755114,01G,3707.25,Boarded,First,321458091
882890208,44G,7195.4,Boarded,Economy,673956828
303972387,35B,6815.96,NoShow,Economy,644400090
1734646496,43A,1372.83,Boarded,Economy,961097874
1984585672,30H,8174.36,NoShow,Economy,849932628
1043205031,35J,1387.41,CheckedIn,Economy,629980200
210501449,43C,8817.09,NoShow,Economy,640063914
2109312852,47D,7817.93,InFlight,Economy,952909772
1707408645,06F,459.73,Booked,First,210689908
301070693,02A,2981.94,InFlight,First,755571786
503010856,07F,7922.21,Cancelled,First,349652618
875032480,50H,4628.43,CheckedIn,Economy,874759184
356967527,24F,2951.96,Landed,Economy,716444739
1384259714,01B,8652.95,InFlight,First,864876863
1634335102,31D,4711.82,Cancelled,Economy,185187372
1095030500,11H,7649.4,Booked,Business,388343195
1785056247,48J,297.95,Boarded,Economy,445107262
1221574440,53B,8471.49,Booked,Economy,477346681
191704414,47G,5773.0,InFlight,Economy,542227356
1302035283,46B,9970.77,InFlight,Economy,628467511
1432140683,41B,5861.38,InFlight,Economy,886938415
384125706,28B,7641.21,InFlight,Economy,328937321
1578197873,13A,4707.27,Boarded,Business,177032577
1843969738,30J,5437.14,Landed,Economy,628431967
663305154,17A,6253.56,NoShow,Business,251904943
921757499,42K,196.79,Booked,Economy,587350462
1144237505,47C,5370.34,Booked,Economy,127539019
522178305,01B,2950.06,CheckedIn,First,860835843
1576780306,01K,1220.09,NoShow,First,920892322
90616896,15C,7557.96,NoShow,Business,544809503
1323168004,00K,6733.75,Cancelled,First,682313124
724196516,16D,9375.93,CheckedIn,Business,995868695
1356834545,21K,1515.7,InFlight,EconPlus,147067450
1113850107,33H,965.06,InFlight,Economy,571332656
536264347,48B,1840.37,InFlight,Economy,628520535
124931844,03F,5048.47,Cancelled,First,124577434
2071332343,36D,8011.51,Boarded,Economy,874196102
2130847107,35A,3232.79,CheckedIn,Economy,307120935
205631204,15G,8407.95,Booked,Business,367923614
1183272258,57F,8567.7,Cancelled,Economy,986766772
269321187,38K,2423.81,Landed,Economy,874082104
440327272,54G,7864.67,CheckedIn,Economy,530346661
1196074486,47B,4564.96,Boarded,Economy,543251635
244984721,37F,6680.01,Boarded,Economy,322586800
212933173,58J,8016.83,CheckedIn,Economy,977107648
837687113,12B,9783.72,Booked,Business,961612874
549358988,02G,687.22,InFlight,First,291621935
55664630,15A,8074.41,Boarded,Business,250169857
