FlightNumber,MarketingAirline,Restrictions
2559,MirageAir,None
2564,HorizonWings,None
2784,EvergreenAirlines,StandByOnly
1075,SwiftWings,Business
2492,SummitAirlines,None
1784,SilverArrow,None
1023,AirWave,None
2613,GoldenEagle,StandByOnly
2030,GoldenEagle,Business
2911,SummitAirlines,None
2504,Express,Business
1258,PacificBreezeAirlines,None
2498,Express,StandByOnly
1082,PeakAir,StandByOnly
2892,MirageAir,None
1812,MirageAir,None
1376,SilverArrow,StandByOnly
1309,EvergreenAirlines,StandByOnly
1299,UnityAirways,StandByOnly
2342,BlueSkyAirlines,None
1424,CrystalSkyAirways,None
1968,PeakAir,None
2391,SwiftWings,Business
3005,PeakAir,None
1804,AirWave,None
2650,WingStar,None
1138,UnityAirways,None
2014,SilverArrow,Business
2850,SkyHavenAirways,StandByOnly
1056,MirageAir,StandByOnly
1331,SummitAirlines,StandByOnly
1338,MirageAir,None
1574,UnityAirways,Business
1256,PacificBreezeAirlines,None
1646,CrystalSkyAirways,StandByOnly
1455,SkyHavenAirways,StandByOnly
2608,HorizonWings,None
2137,SkyHavenAirways,Business
1811,MirageAir,StandByOnly
3004,AeroLink,None
2753,WingStar,Business
2889,AirLuxe,None
1444,AirWave,Business
2459,MirageAir,None
1171,EvergreenAirlines,StandByOnly
2797,OceanAirways,StandByOnly
1386,Express,Business
1998,GoldenEagle,Business
1237,SilverArrow,StandByOnly
1527,SwiftWings,None
1288,SilverArrow,None
1704,OceanAirways,StandByOnly
2695,OceanAirways,StandByOnly
2409,Express,Business
2613,UnityAirways,StandByOnly
1896,EvergreenAirlines,None
1851,SummitAirlines,None
2200,EvergreenAirlines,Business
2300,AirLuxe,None
3002,UnityAirways,None
2505,StarJetAirlines,Business
2054,SwiftWings,None
1009,UnityAirways,Business
1549,AirLuxe,None
1164,OceanAirways,Business
1021,AeroLink,None
3098,Airways,StandByOnly
1023,SwiftWings,Business
2679,OceanAirways,Business
1690,OceanAirways,StandByOnly
3042,HorizonWings,Business
1330,SummitAirlines,StandByOnly
1691,SwiftWings,StandByOnly
1479,AeroLink,None
2141,BlueSkyAirlines,Business
1894,Express,None
2620,CrystalSkyAirways,Business
1061,UnityAirways,None
1099,GoldenEagle,StandByOnly
2205,PacificBreezeAirlines,StandByOnly
2207,OceanAirways,Business
2841,WingStar,StandByOnly
1459,AirWave,None
2696,PacificBreezeAirlines,None
2834,SummitAirlines,None
2374,PeakAir,StandByOnly
2875,Express,Business
2333,BlueSkyAirlines,StandByOnly
2812,WingStar,StandByOnly
2863,SunAirInternational,None
1386,SummitAirlines,Business
2530,SwiftWings,None
1157,WingStar,StandByOnly
1031,HorizonWings,None
2409,SwiftWings,Business
1492,Express,None
1087,CrystalSkyAirways,StandByOnly
1769,AeroLink,None
2337,OceanAirways,Business
2932,AirLuxe,None
1356,SunAirInternational,Business
2561,SilverArrow,None
2203,AeroLink,StandByOnly
1225,SwiftWings,Business
3028,BlueSkyAirlines,StandByOnly
1172,StarJetAirlines,StandByOnly
2211,MirageAir,Business
1525,CrystalSkyAirways,StandByOnly
1238,SkyHavenAirways,None
2902,GoldenEagle,Business
2775,PeakAir,Business
2706,SunAirInternational,None
2362,SkyHavenAirways,None
2108,AeroLink,None
1161,SkyHavenAirways,StandByOnly
2037,WingStar,Business
2576,HorizonWings,Business
2200,Express,Business
1502,UnityAirways,Business
2430,OceanAirways,StandByOnly
1115,SkyHavenAirways,Business
2009,StarJetAirlines,StandByOnly
2682,SwiftWings,Business
2076,SkyHavenAirways,None
2319,BlueSkyAirlines,StandByOnly
2065,Express,StandByOnly
2205,SilverArrow,Business
2924,CrystalSkyAirways,Business
1881,SummitAirlines,None
1085,SwiftWings,Business
2783,CrystalSkyAirways,None
2555,Express,StandByOnly
2212,SunAirInternational,None
1233,PacificBreezeAirlines,Business
1206,OceanAirways,Business
2365,GoldenEagle,Business
1832,CrystalSkyAirways,StandByOnly
1644,AeroLink,Business
1428,AirWave,StandByOnly
1188,BlueSkyAirlines,StandByOnly
3060,GoldenEagle,None
2219,SummitAirlines,Business
2959,Airways,Business
2058,UnityAirways,Business
2107,AeroLink,Business
1175,HorizonWings,None
1638,AeroLink,Business
1279,SkyHavenAirways,StandByOnly
1692,CrystalSkyAirways,StandByOnly
2950,PeakAir,None
2267,UnityAirways,None
2738,OceanAirways,StandByOnly
2472,SkyHavenAirways,Business
2073,StarJetAirlines,None
1443,HorizonWings,None
3066,SunAirInternational,StandByOnly
1008,MirageAir,StandByOnly
1055,BlueSkyAirlines,StandByOnly
1963,Express,Business
2361,EvergreenAirlines,None
1088,BlueSkyAirlines,None
2967,WingStar,StandByOnly
2778,EvergreenAirlines,None
1086,Express,StandByOnly
2691,WingStar,Business
2069,PeakAir,StandByOnly
1688,HorizonWings,None
1226,BlueSkyAirlines,Business
2063,Express,None
2307,CrystalSkyAirways,Business
2368,HorizonWings,Business
2791,PeakAir,StandByOnly
2625,UnityAirways,Business
1856,SkyHavenAirways,StandByOnly
1020,SunAirInternational,None
2135,EvergreenAirlines,Business
1644,StarJetAirlines,Business
2155,WingStar,Business
2306,OceanAirways,StandByOnly
1163,SummitAirlines,Business
2147,SkyHavenAirways,Business
2891,SwiftWings,Business
1975,HorizonWings,None
1819,BlueSkyAirlines,Business
2335,SwiftWings,None
3020,Express,StandByOnly
2490,SummitAirlines,StandByOnly
1001,SunAirInternational,None
1673,MirageAir,StandByOnly
2671,SwiftWings,StandByOnly
1003,EvergreenAirlines,StandByOnly
2078,EvergreenAirlines,StandByOnly
1194,StarJetAirlines,Business
2869,CrystalSkyAirways,None
1375,WingStar,None
2740,StarJetAirlines,StandByOnly
1826,Airways,StandByOnly
2203,EvergreenAirlines,None
2729,GoldenEagle,StandByOnly
2424,StarJetAirlines,Business
2757,PeakAir,StandByOnly
1652,StarJetAirlines,None
3080,SilverArrow,StandByOnly
2873,BlueSkyAirlines,None
2782,HorizonWings,None
1337,HorizonWings,StandByOnly
1706,PacificBreezeAirlines,StandByOnly
1260,UnityAirways,Business
2577,CrystalSkyAirways,None
2128,BlueSkyAirlines,None
2304,Express,Business
1089,UnityAirways,StandByOnly
1389,PeakAir,Business
1800,GoldenEagle,None
2366,UnityAirways,StandByOnly
1315,UnityAirways,Business
1086,CrystalSkyAirways,None
1134,Airways,StandByOnly
2799,SummitAirlines,None
2963,PeakAir,Business
2474,PacificBreezeAirlines,None
1320,AirLuxe,Business
2652,SwiftWings,Business
1209,AirLuxe,StandByOnly
2102,SwiftWings,None
3003,Express,None
2735,AirLuxe,StandByOnly
2564,WingStar,Business
2913,PacificBreezeAirlines,None
1439,EvergreenAirlines,Business
1307,PacificBreezeAirlines,StandByOnly
1148,AirLuxe,Business
3032,GoldenEagle,Business
1509,StarJetAirlines,None
2860,AirWave,Business
2202,PeakAir,Business
2819,SilverArrow,None
2824,WingStar,Business
2864,OceanAirways,Business
1041,AirWave,Business
1562,SilverArrow,Business
2340,AirWave,StandByOnly
2794,SkyHavenAirways,StandByOnly
2426,StarJetAirlines,Business
1981,SummitAirlines,Business
3057,PeakAir,None
1347,EvergreenAirlines,StandByOnly
1405,AirWave,Business
1208,SummitAirlines,None
2912,WingStar,None
1858,AeroLink,StandByOnly
2739,CrystalSkyAirways,None
1559,Express,Business
1741,SummitAirlines,None
1037,CrystalSkyAirways,Business
1525,GoldenEagle,Business
2287,SunAirInternational,StandByOnly
2931,Airways,Business
2988,MirageAir,Business
1921,HorizonWings,None
1859,SunAirInternational,None
3061,UnityAirways,None
1084,UnityAirways,Business
2622,HorizonWings,None
1455,SunAirInternational,Business
1126,GoldenEagle,None
1755,SunAirInternational,Business
1607,AeroLink,Business
1660,CrystalSkyAirways,StandByOnly
2786,StarJetAirlines,StandByOnly
1303,EvergreenAirlines,None
1356,WingStar,None
2281,AirWave,Business
2150,GoldenEagle,None
1471,Airways,None
2635,AirLuxe,StandByOnly
2826,MirageAir,None
1720,SunAirInternational,Business
2747,SummitAirlines,StandByOnly
1715,SunAirInternational,StandByOnly
2340,SummitAirlines,StandByOnly
2451,SunAirInternational,Business
1706,SwiftWings,None
2661,SwiftWings,StandByOnly
1740,SilverArrow,Business
2759,SwiftWings,None
2110,MirageAir,None
2530,StarJetAirlines,StandByOnly
1357,Airways,StandByOnly
1241,PacificBreezeAirlines,StandByOnly
1311,Airways,StandByOnly
3021,EvergreenAirlines,Business
2026,WingStar,StandByOnly
1332,MirageAir,StandByOnly
2827,EvergreenAirlines,None
2631,AeroLink,Business
2713,AirLuxe,StandByOnly
2262,SunAirInternational,None
1727,OceanAirways,None
1977,GoldenEagle,StandByOnly
2069,BlueSkyAirlines,None
1131,GoldenEagle,None
1955,MirageAir,Business
1945,SilverArrow,None
1721,WingStar,Business
2210,PeakAir,StandByOnly
2011,PacificBreezeAirlines,Business
2056,SilverArrow,Business
2855,SummitAirlines,None
1914,Airways,None
2517,UnityAirways,StandByOnly
1094,PeakAir,None
2657,AirWave,StandByOnly
1831,CrystalSkyAirways,StandByOnly
1564,Airways,StandByOnly
1846,BlueSkyAirlines,None
2595,BlueSkyAirlines,StandByOnly
2489,SkyHavenAirways,Business
2446,HorizonWings,Business
1047,Express,None
2172,WingStar,StandByOnly
2544,WingStar,StandByOnly
1667,AirLuxe,None
2313,EvergreenAirlines,StandByOnly
2892,AirWave,None
2977,Airways,None
1319,CrystalSkyAirways,None
2112,SilverArrow,Business
2988,SilverArrow,None
2491,SunAirInternational,None
2405,SwiftWings,StandByOnly
2234,Airways,Business
1644,SunAirInternational,None
1586,PacificBreezeAirlines,StandByOnly
2861,MirageAir,StandByOnly
2136,SilverArrow,StandByOnly
1228,Express,Business
1171,CrystalSkyAirways,Business
1766,PacificBreezeAirlines,Business
2172,PeakAir,Business
1533,CrystalSkyAirways,None
2472,StarJetAirlines,Business
2269,OceanAirways,StandByOnly
2428,HorizonWings,Business
1675,AeroLink,Business
2060,CrystalSkyAirways,Business
1148,PacificBreezeAirlines,None
1958,WingStar,Business
2306,BlueSkyAirlines,None
1595,SwiftWings,StandByOnly
1615,WingStar,Business
1159,CrystalSkyAirways,Business
1212,OceanAirways,None
1984,PeakAir,None
1591,PeakAir,None
2843,StarJetAirlines,None
2215,Airways,None
1406,PacificBreezeAirlines,Business
2916,CrystalSkyAirways,None
1424,GoldenEagle,None
1929,AirLuxe,Business
1772,Airways,Business
1216,SkyHavenAirways,StandByOnly
2353,MirageAir,StandByOnly
1292,PacificBreezeAirlines,StandByOnly
3046,SkyHavenAirways,None
1938,SunAirInternational,Business
1880,Express,Business
2291,CrystalSkyAirways,None
2091,SummitAirlines,Business
2904,SunAirInternational,None
1817,OceanAirways,StandByOnly
1850,PacificBreezeAirlines,Business
2855,Express,Business
1794,Express,None
2197,AirWave,StandByOnly
2065,AirLuxe,Business
1770,WingStar,StandByOnly
1986,BlueSkyAirlines,Business
2373,CrystalSkyAirways,StandByOnly
2009,StarJetAirlines,StandByOnly
2366,AirLuxe,None
1916,WingStar,None
1792,CrystalSkyAirways,StandByOnly
1599,OceanAirways,None
2816,BlueSkyAirlines,Business
2567,SummitAirlines,None
2748,SunAirInternational,StandByOnly
1802,WingStar,Business
1440,AeroLink,None
2142,GoldenEagle,Business
1815,SilverArrow,StandByOnly
2883,OceanAirways,Business
2361,BlueSkyAirlines,None
1304,SummitAirlines,None
2652,PacificBreezeAirlines,Business
2330,UnityAirways,Business
3087,OceanAirways,StandByOnly
2449,AirLuxe,Business
2094,SummitAirlines,StandByOnly
2752,SkyHavenAirways,None
2710,GoldenEagle,Business
2280,SummitAirlines,StandByOnly
1063,AirLuxe,None
1897,StarJetAirlines,StandByOnly
2437,Express,Business
2507,PacificBreezeAirlines,Business
3019,HorizonWings,StandByOnly
1946,EvergreenAirlines,Business
2873,EvergreenAirlines,StandByOnly
2139,HorizonWings,StandByOnly
2324,PacificBreezeAirlines,None
3016,WingStar,None
1661,PacificBreezeAirlines,None
2335,SummitAirlines,None
1362,GoldenEagle,None
1957,PeakAir,None
1938,AirLuxe,Business
2832,Airways,None
1804,PeakAir,None
2738,EvergreenAirlines,StandByOnly
2328,SwiftWings,StandByOnly
1931,SilverArrow,Business
1548,HorizonWings,StandByOnly
1926,WingStar,Business
2143,UnityAirways,StandByOnly
1255,MirageAir,StandByOnly
2840,SunAirInternational,StandByOnly
2506,SilverArrow,None
1926,AeroLink,Business
2567,WingStar,Business
2869,AirLuxe,Business
2919,PacificBreezeAirlines,Business
2349,PacificBreezeAirlines,None
1211,HorizonWings,StandByOnly
1268,SunAirInternational,StandByOnly
1612,CrystalSkyAirways,Business
1758,SummitAirlines,StandByOnly
1034,SunAirInternational,None
3049,PacificBreezeAirlines,StandByOnly
2606,OceanAirways,None
1828,Airways,None
1999,SwiftWings,Business
2208,HorizonWings,None
1189,Express,Business
1546,SunAirInternational,None
2455,AirWave,Business
2632,UnityAirways,None
2284,AirWave,None
1756,EvergreenAirlines,None
1875,UnityAirways,StandByOnly
1532,Airways,Business
2168,EvergreenAirlines,Business
1311,EvergreenAirlines,Business
1233,AirLuxe,Business
2433,SwiftWings,Business
1514,AirLuxe,None
1268,StarJetAirlines,StandByOnly
2258,GoldenEagle,Business
2000,SunAirInternational,None
1218,WingStar,None
1736,SummitAirlines,None
1545,SilverArrow,Business
1265,CrystalSkyAirways,Business
1881,MirageAir,StandByOnly
2962,PacificBreezeAirlines,StandByOnly
1070,HorizonWings,None
2164,Express,Business
2588,OceanAirways,None
2452,MirageAir,StandByOnly
1842,AeroLink,Business
1238,BlueSkyAirlines,None
1555,MirageAir,StandByOnly
2472,WingStar,Business
2099,AeroLink,StandByOnly
2203,MirageAir,None
2626,PeakAir,Business
1696,CrystalSkyAirways,Business
1608,UnityAirways,Business
1001,SummitAirlines,None
2670,SummitAirlines,None
2191,AeroLink,None
1320,SummitAirlines,Business
3088,Express,Business
1526,UnityAirways,StandByOnly
1343,SkyHavenAirways,StandByOnly
1051,MirageAir,Business
2789,HorizonWings,Business
2677,Express,None
1550,UnityAirways,None
2323,SwiftWings,StandByOnly
1200,SunAirInternational,None
1763,Airways,StandByOnly
2241,MirageAir,Business
2130,Airways,StandByOnly
1769,PeakAir,StandByOnly
2412,Express,Business
2031,GoldenEagle,StandByOnly
2272,SilverArrow,None
2124,SummitAirlines,Business
2180,GoldenEagle,StandByOnly
1105,StarJetAirlines,Business
2710,Express,Business
1107,SilverArrow,StandByOnly
1651,HorizonWings,None
1789,PacificBreezeAirlines,StandByOnly
2930,OceanAirways,None
2258,PacificBreezeAirlines,None
2143,SkyHavenAirways,None
2080,SummitAirlines,None
2696,PacificBreezeAirlines,Business
2019,OceanAirways,StandByOnly
1594,GoldenEagle,None
1411,GoldenEagle,None
2620,SwiftWings,None
2797,GoldenEagle,Business
3087,Express,None
1075,MirageAir,StandByOnly
2445,Airways,Business
2433,EvergreenAirlines,Business
2728,GoldenEagle,StandByOnly
1538,PacificBreezeAirlines,None
2274,HorizonWings,Business
1373,Express,StandByOnly
1522,StarJetAirlines,Business
1083,UnityAirways,StandByOnly
2079,AirWave,None
1793,SunAirInternational,StandByOnly
2823,Express,Business
2708,GoldenEagle,StandByOnly
2560,SkyHavenAirways,None
2587,CrystalSkyAirways,StandByOnly
1407,HorizonWings,None
2120,EvergreenAirlines,Business
1123,UnityAirways,StandByOnly
3004,SilverArrow,Business
2193,SwiftWings,StandByOnly
1240,UnityAirways,Business
1794,WingStar,None
2397,SummitAirlines,StandByOnly
2496,AeroLink,None
1630,AirLuxe,None
2294,PacificBreezeAirlines,None
2280,AirLuxe,Business
1020,AirLuxe,StandByOnly
3020,HorizonWings,None
1672,SunAirInternational,None
1732,AeroLink,None
2646,EvergreenAirlines,None
1498,PeakAir,Business
2528,UnityAirways,StandByOnly
2745,AirLuxe,StandByOnly
3057,OceanAirways,None
3067,SwiftWings,Business
2380,SummitAirlines,StandByOnly
2308,SunAirInternational,Business
1538,SunAirInternational,None
2887,Express,Business
2781,MirageAir,StandByOnly
1974,SkyHavenAirways,Business
1092,SunAirInternational,StandByOnly
2392,BlueSkyAirlines,Business
1611,SkyHavenAirways,Business
1117,SwiftWings,None
2146,PacificBreezeAirlines,None
2678,SummitAirlines,Business
2548,SummitAirlines,Business
2994,MirageAir,StandByOnly
2572,SwiftWings,None
1390,Airways,Business
1320,AeroLink,None
2412,SkyHavenAirways,Business
2519,StarJetAirlines,None
2645,OceanAirways,None
2393,AirLuxe,None
2639,AeroLink,StandByOnly
1470,UnityAirways,Business
2200,BlueSkyAirlines,None
1033,Airways,None
1024,HorizonWings,None
2719,SilverArrow,StandByOnly
1002,OceanAirways,StandByOnly
1089,WingStar,StandByOnly
2141,SwiftWings,None
1998,SilverArrow,None
1735,CrystalSkyAirways,None
1737,EvergreenAirlines,Business
2598,CrystalSkyAirways,Business
2306,AirWave,StandByOnly
2877,AirLuxe,None
2407,AirWave,Business
1217,SilverArrow,Business
2048,MirageAir,None
2998,StarJetAirlines,None
2706,GoldenEagle,None
2634,GoldenEagle,Business
1804,CrystalSkyAirways,Business
2109,Express,Business
1262,SummitAirlines,StandByOnly
1554,WingStar,Business
1721,SummitAirlines,StandByOnly
2666,MirageAir,Business
2000,MirageAir,Business
2866,WingStar,None
1006,GoldenEagle,StandByOnly
1263,CrystalSkyAirways,StandByOnly
1687,SkyHavenAirways,StandByOnly
2209,UnityAirways,Business
1899,PeakAir,None
1066,SunAirInternational,StandByOnly
1879,MirageAir,Business
2666,Express,Business
2160,SunAirInternational,None
1703,BlueSkyAirlines,StandByOnly
1365,AirWave,StandByOnly
2959,AirWave,None
2981,AirLuxe,None
2544,CrystalSkyAirways,StandByOnly
1384,GoldenEagle,Business
2973,SilverArrow,Business
2218,AeroLink,StandByOnly
1970,OceanAirways,None
2333,AirWave,None
2376,Express,Business
1200,PacificBreezeAirlines,StandByOnly
1921,SummitAirlines,None
1202,SilverArrow,StandByOnly
1791,SunAirInternational,StandByOnly
1569,OceanAirways,Business
2097,PeakAir,None
2078,OceanAirways,None
3015,BlueSkyAirlines,None
1436,BlueSkyAirlines,StandByOnly
2632,PacificBreezeAirlines,None
1445,CrystalSkyAirways,StandByOnly
2045,CrystalSkyAirways,Business
1624,AeroLink,None
1129,HorizonWings,StandByOnly
1581,GoldenEagle,None
2404,EvergreenAirlines,Business
2272,EvergreenAirlines,None
2851,AirLuxe,Business
2707,WingStar,Business
1837,PeakAir,StandByOnly
1756,OceanAirways,Business
1733,PeakAir,None
2935,CrystalSkyAirways,None
1392,Airways,Business
1515,EvergreenAirlines,StandByOnly
1897,PeakAir,Business
1818,Express,StandByOnly
2816,StarJetAirlines,Business
1687,SkyHavenAirways,StandByOnly
1278,SunAirInternational,None
1217,Express,Business
1632,OceanAirways,StandByOnly
1693,CrystalSkyAirways,Business
2302,Express,Business
1065,EvergreenAirlines,None
1293,PacificBreezeAirlines,StandByOnly
2952,MirageAir,Business
1141,AeroLink,None
2337,Express,Business
1170,MirageAir,None
1180,AirLuxe,None
1681,WingStar,None
2801,SwiftWings,Business
1791,PeakAir,Business
